pango_lineage,pango_unaliased,count
BA.2,B.1.1.529.2,11
BA.1.1,B.1.1.529.1.1,6
BA.1.17.2,B.1.1.529.1.17.2,4
BA.2.9,B.1.1.529.2.9,4
BA.5.1,B.1.1.529.5.1,3
BA.1.17,B.1.1.529.1.17,3
BQ.1.1,B.1.1.529.5.3.1.1.1.1.1.1,3
BA.1,B.1.1.529.1,3
HK.6,XBB.1.9.2.5.1.1.6,2
BA.2.12.1,B.1.1.529.2.12.1,2
AY.44,B.1.617.2.44,2
B.1,B.1,2
BN.1.3,B.1.1.529.2.75.5.1.3,2
BA.2.1,B.1.1.529.2.1,2
BA.1.18,B.1.1.529.1.18,2
KP.2,B.1.1.529.2.86.1.1.11.1.2,2
BA.5.5,B.1.1.529.5.5,2
B.1.160,B.1.160,2
FU.2.1,XBB.1.16.1.2.1,1
BE.1,B.1.1.529.5.3.1.1,1
BA.5.6,B.1.1.529.5.6,1
BQ.1.1.56,B.1.1.529.5.3.1.1.1.1.1.1.56,1
BQ.1.14,B.1.1.529.5.3.1.1.1.1.1.14,1
GJ.1.2.5,XBB.2.3.3.1.2.5,1
XAE,XAE,1
XBB.1.5,XBB.1.5,1
BA.1.1.1,B.1.1.529.1.1.1,1
JN.1.13.1,B.1.1.529.2.86.1.1.13.1,1
XBB.1.16.1,XBB.1.16.1,1
KP.1.1,B.1.1.529.2.86.1.1.11.1.1.1,1
BA.5.1.22,B.1.1.529.5.1.22,1
XBB.1.16.31,XBB.1.16.31,1
FL.2,XBB.1.9.1.2,1
EG.1,XBB.1.9.2.1,1
MC.13,B.1.1.529.2.86.1.1.11.1.3.1.1.13,1
EG.5.1.16,XBB.1.9.2.5.1.16,1
JG.3,XBB.1.9.2.5.1.3.3,1
BR.1,B.1.1.529.2.75.4.1,1
XBB.2.6,XBB.2.6,1
EG.6.1,XBB.1.9.2.6.1,1
JN.1,B.1.1.529.2.86.1.1,1
AY.103,B.1.617.2.103,1
BF.7,B.1.1.529.5.2.1.7,1
B.1.177,B.1.177,1
BA.1.1.14,B.1.1.529.1.1.14,1
B.1.609,B.1.609,1
BQ.1.1.18,B.1.1.529.5.3.1.1.1.1.1.1.18,1
B,B,1
HN.2.1,XBB.1.9.1.1.5.1.2.1,1
XBB.1.5.28,XBB.1.5.28,1
XBB.1.5.105,XBB.1.5.105,1
HN.6,XBB.1.9.1.1.5.1.6,1
BA.2.65,B.1.1.529.2.65,1
XBB.1.16.15,XBB.1.16.15,1
KP.3.1.1,B.1.1.529.2.86.1.1.11.1.3.1.1,1
DV.7.1,B.1.1.529.2.75.3.4.1.1.1.1.1.7.1,1
BA.2.3,B.1.1.529.2.3,1
XEK,XEK,1
BA.2.18,B.1.1.529.2.18,1
CH.1.1,B.1.1.529.2.75.3.4.1.1.1.1,1
BQ.1.1.58,B.1.1.529.5.3.1.1.1.1.1.1.58,1
FY.3.2,XBB.1.22.1.3.2,1
BG.2,B.1.1.529.2.12.1.2,1
B.1.1.28,B.1.1.28,1
BW.1.1.2,B.1.1.529.5.6.2.1.1.2,1
XBB.1.5.65,XBB.1.5.65,1
XBB.1.9.2,XBB.1.9.2,1
MC.23,B.1.1.529.2.86.1.1.11.1.3.1.1.23,1
JN.1.4,B.1.1.529.2.86.1.1.4,1
BA.5.2.1,B.1.1.529.5.2.1,1
BA.1.20,B.1.1.529.1.20,1
EG.5.1.3,XBB.1.9.2.5.1.3,1
JN.1.39,B.1.1.529.2.86.1.1.39,1
KP.3.2.3,B.1.1.529.2.86.1.1.11.1.3.2.3,1
